"ID" "Faltas" "Dever" "Gosta_escola" "Notas" "Alcool_vida" "Inalantes_vida" "Sexo" "Idade" "Ano_escolar" "Autoeficacia" "Intromissao" "Antisocial" "Futuro2"
"209" 209 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 1 14 9 3.41 3.47 1.71 "FORMADA, CASADA"
"210" 210 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 11 5 3.42 0.91 1.01 "MUITO TRABALHO,"
"211" 211 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 7 3.42 1.78 1.35 "UMA (PALAVRA IN"
"212" 212 "Nenhum dia" "Raramente" "Gosto bastante" "Médias" "Não" "Não" 2 14 8 3.42 2.68 2.98 "COM UM BOM EMPR"
"213" 213 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 13 6 3.42 2.78 2.95 "IMAGINO EU FAMO"
"214" 214 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 13 7 3.43 1.47 1.47 "UMA PESSOA BEM "
"215" 215 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Não" 1 12 7 3.43 2.01 2.41 "UMA VIDA RUIM, "
"216" 216 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Não" 2 12 7 3.43 2.24 1.84 "N\XE3O PENSO NO"
"217" 217 "1 ou 2 dias" "Raramente" "Não gosto" "Médias" "Sim" "Não" 1 12 7 3.43 3.55 1.94 "MORTA"
"218" 218 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 13 8 3.43 4.45 2.12 "MORANDO COM A M"
"219" 219 "Nenhum dia" "Muitas vezes" "Adoro" "Médias" "Sim" "Sim" 1 12 7 3.44 1 1.04 "BEM COM O MUNDO"
"220" 220 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 2 13 8 3.44 1.71 2.36 "IDEALIZO A MINH"
"221" 221 NA "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 7 3.44 2.98 1.55 "FORMADA , SER R"
"222" 222 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 6 3.44 3.25 0.96 "UM BOM EMPREGO "
"223" 223 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Não" 2 11 6 3.45 1.32 1.8 "SER VETERIN\XE1"
"224" 224 "Nenhum dia" "Muitas vezes" "Não gosto" "Médias" "Não" "Sim" 2 13 8 3.45 2.88 1.72 "BOA NO EMPREGO "
"225" 225 "Nenhum dia" "Várias vezes" "Detesto" "Médias" "Não" "Não" 2 12 6 3.45 2.97 2.01 "EU COM MUITO DI"
"226" 226 "1 ou 2 dias" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 12 7 3.45 4.76 1.61 "UMA VIDA NORMAL"
"227" 227 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Sim" "Sim" 1 12 7 3.46 1.2 1.09 "EU IMAGINO MINH"
"228" 228 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Não" 2 11 7 3.46 1.22 1.69 "MORANDO EM ORLA"
"230" 230 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 13 7 3.46 2.43 2.06 "UMA CASA COM UM"
"231" 231 "3 a 5 dias" "Várias vezes" "Adoro" "Médias" "Sim" "Sim" 1 13 8 3.46 2.47 2.36 "CASADA, FORMADA"
"232" 232 "Nenhum dia" "Muitas vezes" "Adoro" "Altas" "Sim" NA 1 11 6 3.47 0.96 1.02 "SER BOMBEIRO TE"
"233" 233 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Sim" "Sim" 1 13 7 3.47 1.83 1.25 "EU IMAGINO EU L"
"234" 234 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 14 9 3.47 4 2.22 "ME IMAGINO BEM "
"235" 235 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 14 7 3.48 1 1.38 "UM MESTRE POKEM"
"236" 236 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" NA 11 8 3.48 1.26 1.28 "QUERO UM EMPREG"
"237" 237 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 12 7 3.48 1.46 1.21 "EU IMAGINO TERM"
"238" 238 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 9 3.49 4.5 2.15 "SEM DOEN\XE7AS;"
"239" 239 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Não" 1 14 9 3.5 2.3 2.63 "UMA PESSOA BEM "
"241" 241 "Nenhum dia" "Várias vezes" "Não gosto" "Baixas" "Não" "Sim" 1 12 7 3.5 3.95 2.32 "UMA VIDA LEGAL "
"242" 242 "Mais de 5 dias" "Raramente" "Não gosto" "Médias" "Não" "Não" 1 13 6 3.51 3.5 1.24 "XIRUGI\XE3O"
"243" 243 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 1 14 9 3.52 3.95 3.68 "IMAGINO UMA VID"
"244" 244 "Mais de 5 dias" "Muitas vezes" "Não gosto" "Médias" "Não" "Sim" 1 14 7 3.53 1.41 1.88 "EU IMAGINO COM "
"245" 245 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 1 12 7 3.53 2.18 2.31 "EU AINDA N\XE3O"
"246" 246 "1 ou 2 dias" "Várias vezes" "Gosto pouco" "Altas" "Sim" "Sim" 2 NA 9 3.53 2.31 2.17 "OU JOGADOR DO F"
"247" 247 "Nenhum dia" "Raramente" "Gosto bastante" "Médias" "Não" "Sim" 1 14 8 3.53 2.44 1.43 "ME IMAGINO COM "
"248" 248 "1 ou 2 dias" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 1 13 8 3.53 2.97 2.29 "EM UM APARTAMEN"
"249" 249 "Nenhum dia" "Raramente" "Gosto pouco" "Baixas" "Não" "Sim" 1 14 8 3.54 1.09 1.88 "EU ME IMAGINO M"
"250" 250 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Não" 1 12 8 3.54 2.95 1.67 "IMAGINO FORMADA"
"251" 251 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 NA 9 3.54 3.16 1.81 "EU IMAGINO EST\"
"252" 252 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 11 6 3.54 3.69 1.44 "IMAGINO SE EU E"
"253" 253 "Nenhum dia" "Raramente" "Gosto bastante" "Médias" "Sim" "Não" 1 12 7 3.55 1.76 1.27 "N\XE3O SEI PORQ"
"254" 254 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Baixas" "Não" "Sim" 1 13 8 3.55 2.42 1.42 "N\XE3O SEI"
"255" 255 "1 ou 2 dias" "Muitas vezes" "Gosto pouco" "Baixas" "Sim" "Sim" 2 14 8 3.56 1.82 1.35 "EU ME IMAGINO C"
"256" 256 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 11 6 3.56 2.35 1.16 "M\XE9DICO(A) BE"
"257" 257 "Nenhum dia" "Várias vezes" "Não gosto" "Médias" "Não" "Não" 1 13 7 3.56 4.03 3.56 "EU SENDO BOMBEI"
"258" 258 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Não" "Não" 1 12 7 3.57 1.51 2.13 "IMAGINO COM UM "
"259" 259 "Nenhum dia" "Várias vezes" "Gosto bastante" "Baixas" "Sim" "Sim" 1 12 7 3.57 1.74 1.03 "SER UMA POLICIA"
"260" 260 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Baixas" "Não" "Sim" 1 13 8 3.57 3.74 2.2 "DELEGADA DE POL"
"261" 261 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 11 6 3.58 0.96 1.21 "BOA, TIPO COM O"
"262" 262 "Nenhum dia" "Raramente" "Adoro" "Baixas" "Não" "Não" 1 13 8 3.58 2.02 2.34 "RICA, CASADA, C"
"263" 263 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 NA 9 3.58 2.49 1.17 "COM UM BOM TRAB"
"264" 264 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 12 7 3.59 1.28 1.13 "SENDO PROFESSOR"
"265" 265 "Nenhum dia" "Muitas vezes" "Não gosto" "Altas" "Não" "Sim" 1 NA 9 3.59 3.27 3.22 "BEM SUCESSIDA, "
"266" 266 "1 ou 2 dias" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 1 13 8 3.59 3.45 4.19 "IMAGINO MINHA V"
"267" 267 "1 ou 2 dias" "Várias vezes" "Adoro" "Médias" "Sim" "Não" 2 12 6 3.6 2.54 1.44 "S\XEA JOGADOR D"
"268" 268 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 11 6 3.6 3.49 1.28 "IMAGINO EU TEND"
"269" 269 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 12 6 3.61 1.93 2 "EU VEJO FUTURO "
"270" 270 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 2 13 8 3.61 1.95 1.6 "ME IMAGINO SEND"
"271" 271 "Nenhum dia" "Raramente" "Adoro" "Baixas" "Sim" "Sim" 2 14 6 3.61 3.05 1.87 "EU SER UMA PESS"
"272" 272 "Nenhum dia" "Sempre" "Adoro" "Altas" "Não" "Sim" 2 14 6 3.62 1.51 1.07 "EU PRETENDO TER"
"273" 273 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 3.63 0.96 0.95 "SENDO BOMBEIRO "
"276" 276 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Não" 2 11 6 3.64 2.2 1.02 "RICO E INTELIGE"
"277" 277 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 2 13 8 3.64 2.76 1.22 "SEGUINDO UMA CA"
"278" 278 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 13 8 3.64 3.05 2.4 "COM 19  UNB CUR"
"279" 279 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 7 3.65 1.95 1.27 "COM UMA ESPOSA "
"280" 280 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 12 7 3.65 2 1.03 "ESPERO QUE TENH"
"281" 281 "Nenhum dia" "Sempre" "Adoro" "Altas" "Sim" "Sim" 1 11 6 3.65 2.22 1.45 "COM TRABALHO MU"
"282" 282 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 2 11 6 3.65 3.03 1.36 "NO FUTURO [,,,]"
"283" 283 "Nenhum dia" "Várias vezes" "Gosto pouco" "Altas" "Não" "Não" NA 13 7 3.65 3.52 2.75 "PRETENDO FAZER "
"284" 284 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 2 13 7 3.66 1 1.71 "EU IMAGINO EU C"
"286" 286 "1 ou 2 dias" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 14 9 3.66 2.21 1.29 "ME IMAGINO FELI"
"287" 287 "Nenhum dia" "Várias vezes" "Detesto" "Médias" "Não" "Não" 1 13 8 3.66 2.98 2.61 "IR MORAR SOZINH"
"288" 288 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Sim" "Sim" 2 11 6 3.67 1 1.43 "UM GRANDE ENGEN"
"289" 289 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" NA "Sim" 2 14 7 3.67 1.96 1.11 "TRABALHAR EM UM"
"290" 290 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 8 3.67 2 1.82 "EU NO MEU CONSU"
"291" 291 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 11 6 3.67 2.32 1.04 "EU COM UMA CASA"
"292" 292 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 8 3.67 2.33 3.78 "EU ME IMAGINO U"
"293" 293 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 11 6 3.67 3.06 0.94 "EU SERIA PROFES"
"294" 294 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 NA 6 3.67 3.48 1.53 "MUITO MELHOR DO"
"295" 295 "1 ou 2 dias" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 11 6 3.68 1.84 1.11 "QUE EU SEJA UM "
"296" 296 "1 ou 2 dias" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 2 13 7 3.68 2.57 1.81 "EU ME IMAGINO N"
"297" 297 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 14 9 3.68 2.74 1.13 "FORMADA  PROFIS"
"298" 298 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 13 8 3.68 2.76 3.09 "BEM DE SA\XFADE"
"299" 299 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 12 7 3.68 2.77 2.1 "EM UMA FACULDAD"
"300" 300 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 13 8 3.68 3.28 2.02 "EU IMAGINO A MI"
"301" 301 "1 ou 2 dias" "Muitas vezes" "Adoro" "Médias" "Não" "Sim" 1 14 7 3.68 4.02 1.47 "IMAGINO EU CRES"
"302" 302 "Nenhum dia" "Raramente" "Gosto bastante" "Médias" "Sim" "Sim" 2 13 7 3.69 2.01 1.63 "EU ME IMAGINO, "
"303" 303 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 7 3.69 2.91 1.3 "EU SENTO MEDICA"
"304" 304 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 11 6 3.69 3 1.03 "CHEIA DE TECNOL"
"305" 305 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 14 9 3.69 3.07 1.17 "FAZENDO MEDICI"
"306" 306 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 14 9 3.7 1.45 0.94 "BOA, ESPERO EST"
"308" 308 "Nenhum dia" "Várias vezes" "Gosto pouco" "Altas" "Não" "Não" 1 12 6 3.7 4.95 4.26 "ME IMAGINO TEND"
"309" 309 "Nenhum dia" "Sempre" "Adoro" "Altas" NA "Sim" 1 11 6 3.71 1.08 1.06 "SENDO UMA FUTUR"
"310" 310 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 13 7 3.71 1.71 0.92 "UM PESQUISADOR,"
"311" 311 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 14 9 3.71 1.75 1.75 "QUE EU ESTEJA F"
"312" 312 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 14 7 3.71 2.56 2.57 "EU TRABALHANDO,"
"313" 313 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Sim" "Sim" 1 14 9 3.71 3 1.92 "VERDADE EU N\XE"
"314" 314 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 14 9 3.71 3.71 1.39 "CASADA 2 FILHOS"
"315" 315 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 13 7 3.71 3.71 2.21 "SER MUITO RICA,"
"316" 316 "Nenhum dia" "Várias vezes" "Gosto bastante" "Altas" "Sim" "Sim" 2 12 7 3.72 1.18 1.28 "EU IMAGINO EU C"
"317" 317 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 1 12 6 3.72 2.19 1.13 "CASADA, COM A M"
"318" 318 "Nenhum dia" "Várias vezes" "Detesto" "Médias" "Não" "Sim" 1 14 9 3.72 3.02 2.26 "ME IMAGINO FORM"
"319" 319 "1 ou 2 dias" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 12 7 3.72 3.09 1.25 "EU IMAGINO UMA "
"320" 320 "1 ou 2 dias" "Raramente" "Adoro" "Médias" "Não" "Não" 1 12 7 3.72 4.76 2.34 "EU IMAGINO TE U"
"321" 321 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 14 9 3.73 1 4.23 "ME IMAGINO CASA"
"322" 322 "3 a 5 dias" "Muitas vezes" "Gosto pouco" "Altas" "Sim" "Sim" 1 11 6 3.73 1.47 1.26 "UMA VIDA BEM SU"
"323" 323 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 12 7 3.73 1.77 1.53 "FACULDADE, CURS"
"324" 324 "Nenhum dia" "Raramente" "Gosto pouco" "Baixas" "Não" "Não" 2 13 6 3.73 2.33 2.53 "EU IMAGINO EU C"
"325" 325 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 11 6 3.73 4.49 1.74 "EU IMAGINO MEU "
"327" 327 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 12 6 3.74 2.58 0.93 "EU IMAGINO A TE"
"328" 328 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 11 7 3.74 2.69 1.74 "\XD3TIMO"
"329" 329 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 13 8 3.74 2.78 1.12 "ESTEJA TRABALHA"
"330" 330 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 NA 9 3.74 3 1 "UMA VIDA SEM PR"
"331" 331 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Não" 2 14 6 3.75 1.16 0.98 "COMANDANDO A FA"
"333" 333 "Nenhum dia" "Raramente" "Não gosto" "Altas" "Não" "Não" 1 13 7 3.75 3.47 2.54 "EU ME IMAGINO C"
"334" 334 "1 ou 2 dias" "Várias vezes" "Gosto bastante" "Altas" "Não" "Sim" 2 14 8 3.76 1.97 2.25 "FORMADO, TRABAL"
"335" 335 "Nenhum dia" "Raramente" "Não gosto" "Médias" "Não" "Sim" 2 NA 9 3.76 2.2 1.7 "EU ME IMAGINO R"
"336" 336 "Nenhum dia" "Várias vezes" "Gosto pouco" "Baixas" "Não" "Não" 2 12 7 3.76 2.77 1.87 "BOA"
"337" 337 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Sim" "Sim" 1 13 8 3.78 2.98 1.29 "CORRIDA"
"338" 338 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 12 7 3.78 3.06 1.58 "IMAGINO-ME COM "
"339" 339 "Nenhum dia" "Muitas vezes" "Não gosto" "Altas" "Não" "Sim" 1 12 7 3.78 4.98 4.59 "EU IMAGINO UMA "
"340" 340 "1 ou 2 dias" "Muitas vezes" "Adoro" "Médias" "Não" "Não" 2 11 6 3.79 1.25 1.54 "EU JOGADOR DE F"
"341" 341 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 12 7 3.79 1.74 1.17 "CASADA, MORANDO"
"342" 342 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Não" 1 12 7 3.79 1.76 3.87 "MARAVILHOSA"
"343" 343 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 14 7 3.79 1.97 1.14 "EU IMAGINO QUE "
"344" 344 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Não" "Sim" 1 12 7 3.79 2.27 1.12 "BOA, TENDO TUDO"
"345" 345 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 13 8 3.79 2.97 0.95 "ESTUDANDO, TRAB"
"347" 347 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 9 3.8 2.79 1.09 "COM MINHA FAMIL"
"348" 348 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 12 7 3.8 3.07 2.4 "UMA VIDA BEM SU"
"349" 349 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Não" 1 14 6 3.8 3.54 2.68 "COM UM EMPREGO "
"350" 350 "Nenhum dia" "Sempre" "Detesto" "Médias" "Sim" "Sim" 2 14 7 3.82 0.95 0.9 "CASAR COM A ALI"
"351" 351 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 NA 8 3.82 2.65 1.71 "IMAGINO EU COM "
"352" 352 "Nenhum dia" "Muitas vezes" "Detesto" "Altas" "Sim" "Sim" 1 10 6 3.82 5.07 1.97 "COM UMA CASA BE"
"353" 353 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 7 3.83 1.03 1.2 "AGITADA N\XE3O "
"354" 354 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 2 14 7 3.83 1.04 1.04 "UMA BELA FAM\XE"
"355" 355 "Nenhum dia" "Raramente" "Gosto pouco" "Médias" "Não" "Sim" 2 NA 9 3.83 1.49 1.71 "EM SER ENGENHEI"
"357" 357 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Sim" "Sim" 2 12 7 3.83 2.4 1.81 "BOA, LEGAL, COM"
"358" 358 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 8 3.83 3.46 1.63 "QUANDO EU ME FO"
"359" 359 "1 ou 2 dias" NA "Gosto pouco" "Médias" "Sim" "Sim" 1 13 6 3.83 3.48 1.85 "EU IMAGINO QUE "
"361" 361 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 12 7 3.83 4.08 0.95 "COM SAUDE, COM "
"362" 362 "1 ou 2 dias" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 6 3.84 0.96 0.94 "UM HOMEM UMILDE"
"363" 363 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Não" "Sim" 2 14 9 3.84 2.04 2.41 "UM FUTURO MARAV"
"364" 364 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 14 9 3.85 2.49 2.04 "FORAMADA EM PER"
"365" 365 "1 ou 2 dias" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Não" 2 13 6 3.85 3.56 1.03 "TER 2 FILHOS E "
"367" 367 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 14 9 3.86 0.94 1.4 "REAL EU N\XE3O "
"368" 368 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 2 12 7 3.86 1.53 1.08 "BOM QUE EU SIGA"
"369" 369 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Sim" 1 14 9 3.86 2 1.92 "ME IMAGINO COM "
"370" 370 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Não" "Sim" 1 12 8 3.86 2.03 2.06 "IMAGINO QUE SEJ"
"371" 371 "Nenhum dia" "Sempre" "Gosto pouco" "Médias" "Não" "Não" 2 13 8 3.86 4.05 2.42 "N\XE3O"
"372" 372 "Nenhum dia" "Sempre" "Adoro" "Médias" "Sim" "Sim" 1 14 6 3.87 2 0.98 "NO FUTURO EU SO"
"373" 373 "1 ou 2 dias" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 1 13 8 3.87 2.49 1.59 "UM \XF3TIMO EMP"
"374" 374 "Nenhum dia" "Várias vezes" "Detesto" "Médias" "Não" "Não" 1 14 8 3.87 2.66 1.32 "VIAJANDO PELO M"
"375" 375 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 1 13 8 3.87 4 1.73 "EU IMAGINO QUE "
"376" 376 "Nenhum dia" "Muitas vezes" "Adoro" "Altas" "Sim" "Sim" 2 14 9 3.88 1 1.7 "EU QUERO EST\XE"
"378" 378 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 2 11 6 3.88 1.44 1 "SENDO JOGADOR D"
"380" 380 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Não" "Sim" 1 13 8 3.88 3 1.48 "VIVENDO COM UM "
"381" 381 "Nenhum dia" "Sempre" "Adoro" "Altas" "Não" "Não" 1 12 6 3.88 3.08 1.82 "COM MAIS SA\XFA"
"382" 382 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 14 9 3.89 1.45 1.62 "EM UMA CADEIRA,"
"383" 383 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 12 6 3.89 1.5 1.02 "NO FUTURO EU QU"
"384" 384 "Nenhum dia" "Muitas vezes" NA "Altas" "Sim" "Sim" 1 13 8 3.89 1.81 1.04 "BEM, EU GOSTARI"
"385" 385 "Nenhum dia" "Várias vezes" "Não gosto" "Médias" "Sim" "Sim" 1 12 7 3.89 2.43 1.46 "ME IMAGINO COM "
"386" 386 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Sim" 1 13 7 3.89 3.49 1.41 "TER UMA CASA PR"
"387" 387 "Nenhum dia" "Sempre" "Detesto" "Médias" "Não" "Não" 1 13 8 3.9 1.35 1.13 "EU IMAGINO, EU "
"388" 388 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 11 6 3.9 1.74 0.95 "UMA PESSOA BOA "
"389" 389 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Sim" 1 NA 9 3.9 2.07 1.16 "COM UMA FAM\XED"
"390" 390 "Nenhum dia" "Várias vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 14 9 3.9 3.32 1.12 "EU MORANDO EM V"
"391" 391 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 9 3.9 3.97 1.61 "COM ESTUDOS COM"
"392" 392 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 1 13 9 3.9 3.97 1.64 "ME IMAGINO FORM"
"393" 393 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Altas" "Sim" "Não" 2 11 6 3.91 3.98 1.74 "ME VEJO TRABALH"
"394" 394 "Nenhum dia" "Sempre" "Gosto pouco" "Altas" "Sim" "Não" 1 12 7 3.91 4.03 1.89 "EU ME IMAGINO N"
"395" 395 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Não" 1 13 6 3.92 0.96 0.96 "N\XE3O SEI"
"396" 396 "Nenhum dia" "Várias vezes" "Gosto bastante" "Altas" "Não" "Sim" 2 12 7 3.92 1.41 1.94 "COM UM BOM TRAB"
"397" 397 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Não" "Sim" 2 13 8 3.92 1.65 1.45 "QUE EU TENHA UM"
"398" 398 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 1 12 6 3.92 2.26 1.12 "EU QUERO QUE NO"
"399" 399 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 7 3.92 2.5 1.01 "EU SENDO INGEIR"
